input,output
" Do you think though that ... that in . . . in a sense television skilled people's own er ... sort of , creativity or their ability entertain themselves because if they're bored all they do is justturn on the television ? "," Yes , I think that is a danger , and I think that . . in fact is what mishappening to a lot of people who use it as their ... their main ... um field of amusement and ... because they don't have other outside interests and even when people come round they'll leave the television and not be , you know , particularly interested in talking to them , you Know the television will be the main thing in the room . "
Don't be shy . Have some more chicken . , Thanks . 
I feel pity for the old man . , I feel the same way . 
 I feel the same way . , It must be dreadful to grow old . 
 It must be dreadful to grow old . , Yeah . He has no one to count on . 
I'm going to see the doctor this weekend . , What's your trouble ? 
 What's your trouble ? , I think I need a thorough check-up . 
 I think I need a thorough check-up . , I got it . 
"Professor , I am going to need to leave class early today . ", What is the problem ? 
 What is the problem ? , I need to go to the airport to pick up a relative . 
 I need to go to the airport to pick up a relative . , Are you planning on having someone take notes for you ? 
 Are you planning on having someone take notes for you ? ," Yes , I've got that part covered . "
" Yes , I've got that part covered . "," When , exactly do you need to leave ? "
" When , exactly do you need to leave ? ", I don't need to leave until the very end of class . 
 I don't need to leave until the very end of class . ," Fine , but next time try and not have to miss class again . "
" Fine , but next time try and not have to miss class again . "," Thanks , Professor . See you later ! "
" Thanks , Professor . See you later ! ", See you later ! Drive carefully . 
I'm going to try sky diving this weekend . , I wouldn't do it if I were you . 
 I wouldn't do it if I were you . , It's sounds like fun . 
 It's sounds like fun . ," It's very dangerous , you know . "
" It's very dangerous , you know . ", I want to try something exciting . 
 I want to try something exciting . ," It's an easy way to get hurt , let me tell you . "
" It's an easy way to get hurt , let me tell you . ", I'll tell you all about it next Monday . 
 I'll tell you all about it next Monday . ," Well , take care of yourself , and don't say I didn't warn you . "
Does he know that he has already at his wits ' end ? , I think he has realized that . But he is still whistling in the dark by putting up an act . 
 I think he has realized that . But he is still whistling in the dark by putting up an act . , He might be driven up a wall . You should not handle your relation with him with kid gloves . 
 He might be driven up a wall . You should not handle your relation with him with kid gloves . ," But when I noticed that he was left in the cold , I could not help wanting to help him to get out of the situation . "
"I visited the famous variety show host , Dennis . ", What's he like ? 
 What's he like ? ," Oh , he's a very serious person . "
" Oh , he's a very serious person . ", You must feel very uneasy at his home . 
Hi ! My name is Mike . , Hi ! I'm Nancy . Nice to meet you . 
 Hi ! I'm Nancy . Nice to meet you . ," Nice to meet you , too . "
" Nice to meet you , too . ", Where are you from ? 
 Where are you from ? , I'm from Shanghai . And you ? 
 I'm from Shanghai . And you ? , I'm from Chicago . 
Why do you go fishing so often ? , It's fun . 
"Hi , Cindy . I thought I ’ d missed you . "," Oh , I am very sorry , Hans . Thank you for waiting for me . You must have been here a long time already . "
" Oh , I am very sorry , Hans . Thank you for waiting for me . You must have been here a long time already . ", It ’ s all right . 
 It ’ s all right . ," I was caught in the heavy rain , or I would have come earlier . I am sorry I kept you waiting . "
" I was caught in the heavy rain , or I would have come earlier . I am sorry I kept you waiting . "," I was in a comfortable place , so really , it ’ s no problem . I am happy to see you . Did the rain hold you up long ? "
" I was in a comfortable place , so really , it ’ s no problem . I am happy to see you . Did the rain hold you up long ? "," Yes . When I came out of the subway , it was raining cats and dogs . And I forgot my umbrella . So I had to wait for the rain to let up . "
" Yes . When I came out of the subway , it was raining cats and dogs . And I forgot my umbrella . So I had to wait for the rain to let up . ", I totally understand . 
"Good morning , Jim ! "," Good morning , Emma ! A lovely day , isn't it ? "
" Good morning , Emma ! A lovely day , isn't it ? "," Yes , it is . The sun is shining . There is no wind , only a pleasant breeze . "
" Yes , it is . The sun is shining . There is no wind , only a pleasant breeze . ", It is the best season for a picnic right now . Have you decided the place for your picnic ? 
 It is the best season for a picnic right now . Have you decided the place for your picnic ? , We have decided to go to the park this Sunday . Would you like to go with us if you have not decided yet ? 
 We have decided to go to the park this Sunday . Would you like to go with us if you have not decided yet ? , What did the whetherman say ? 
 What did the whetherman say ? , He ’ s predicting clear skies . 
 He ’ s predicting clear skies . ," Well , I will think it over . "
"Come in , come in , what can I do for you ? "," Professor Donald , are you giving your advanced geology course again next semester ? "
" Professor Donald , are you giving your advanced geology course again next semester ? "," Yes , I am applying on it . "
" Yes , I am applying on it . "," I wonder if I could enroll in it . I know it is a graduate course and I ' m a junior , but ... "
" I wonder if I could enroll in it . I know it is a graduate course and I ' m a junior , but ... ", Aren't you a bit young ? I have a lot of qualified seniors to take the course and they usually have a hard time keeping up . 
 Aren't you a bit young ? I have a lot of qualified seniors to take the course and they usually have a hard time keeping up . ," I know , but the geology of the American west is my major interest and I have done a large reading in the field . "
" I know , but the geology of the American west is my major interest and I have done a large reading in the field . "," Well , if you think you are ready , I'll let you enroll . "
" Well , if you think you are ready , I'll let you enroll . "," Oh , thanks , professor Donald . This is really very nice of you . "
"Management is going through a big turnover these days . With Bill's retirement , and department realignment , we have lost about 1/3 of our managerial staff . They've been dropping like flies ... "," Isn't that a good thing ? Having fewer bosses means having less stress , don't you think ? "
" Isn't that a good thing ? Having fewer bosses means having less stress , don't you think ? "," Actually , I don't think so . Supervisors are really important to make sure everything goes smoothly in the workplace . They are necessary for divvying up work and disciplining employees . If there is no one to keep an eye on us , no one would get any work done . You know what they say , when the cat's away , the mice play . "
" Actually , I don't think so . Supervisors are really important to make sure everything goes smoothly in the workplace . They are necessary for divvying up work and disciplining employees . If there is no one to keep an eye on us , no one would get any work done . You know what they say , when the cat's away , the mice play . "," You're right , we do need leadership . But what we don't need is too many people to lead us . You know what they say about too many chiefs and not enough Indians ... "
" You're right , we do need leadership . But what we don't need is too many people to lead us . You know what they say about too many chiefs and not enough Indians ... ", Alright ... I get your point . 
"How do you like your job here , Linda ? "," It's interesting , I like being an editor . "
" It's interesting , I like being an editor . ", Why ? 
 Why ? ," I like talking to writers , I get to meet a lot of interesting people . "
" I like talking to writers , I get to meet a lot of interesting people . "," I'm happy to hear that , but publishing is more than just talking to writers . it involves a lot of work , patience and responsibility . Most of the work is boring . "
" I'm happy to hear that , but publishing is more than just talking to writers . it involves a lot of work , patience and responsibility . Most of the work is boring . ", I don't feel bored at all . I'm getting along with my colleagues . I will enjoy working with them . People are great in this industry . 
 I don't feel bored at all . I'm getting along with my colleagues . I will enjoy working with them . People are great in this industry . , Do you have any complaints ? 
 Do you have any complaints ? ," No , I have no complaints . I hear there are many opportunities to move up in this company . is that true ? "
" No , I have no complaints . I hear there are many opportunities to move up in this company . is that true ? "," Yes , you have many opportunities to grow in this company as long as you do well . "
" Yes , you have many opportunities to grow in this company as long as you do well . ", That's perfect . I will definitely do well . 
I don't think we've met . ," No , I don't think we have . "
" No , I don't think we have . ", My name is Dick Brown . 
 My name is Dick Brown . , How do you do ? Mr . Brown . I am Susan Heywood . 
 How do you do ? Mr . Brown . I am Susan Heywood . , Mr . Smith often talked about you . 
 Mr . Smith often talked about you . , Really ? I am glad to meet you . 
 Really ? I am glad to meet you . , I'm honored to know you . 
"Why don ’ t you sit down and relax , darling ? ", I don ’ t want to . 
 I don ’ t want to . ," Well , come and talk to me then . "
" Well , come and talk to me then . ", Certainly not . 
 Certainly not . , May I turn on the radio then ? 
 May I turn on the radio then ? , Turn on the radio ? What for ? 
 Turn on the radio ? What for ? , So that we can sit down together and listen to some music . 
 So that we can sit down together and listen to some music . , Listen to some music ? And who ’ ll cook dinner ? Will you ? 
 Listen to some music ? And who ’ ll cook dinner ? Will you ? ," Ok , I will . But let ’ s go to a disco after dinner . "
" Ok , I will . But let ’ s go to a disco after dinner . "," To a disco ? Oh , no . You know I hate pop . "
"David , why don't you clean your room ? ", I am not in the mood . 
 I am not in the mood . , Why are you feeling depress ? 
 Why are you feeling depress ? , I was told my girlfriend was speaking ill of me . It's a real letdown . 
 I was told my girlfriend was speaking ill of me . It's a real letdown . , I don't think she would do such a thing . 
 I don't think she would do such a thing . , But she did and it made me disappointed . 
 But she did and it made me disappointed . ," Oh , cheer up ! A girlfriend is not everything . "
" Oh , cheer up ! A girlfriend is not everything . ", But she means a lot to me . 
 But she means a lot to me . , Then forgive her mistake . 
 Then forgive her mistake . ," Oh , I just can't forget it . "
My sister was taken to the hospital yesterday , What happened ? 
 What happened ? ," She was hit by a car . Luckily , she wasn't seriously hurt . "
" She was hit by a car . Luckily , she wasn't seriously hurt . "," Let's buy some flowers , and pay her a visit "
" Let's buy some flowers , and pay her a visit ", We'll have to hurry ; visiting hours will be over soon 
 We'll have to hurry ; visiting hours will be over soon , OK . Let's go 
What are the good sights to see in Beijing ? ," Well , I know you are interested in architecture , so you should't miss the Temple of Heaven , and the Great wall is a must too . "
"Hello , let me introduce myself . I'm your new neighbor . My name is Andy . "," Hi , Andy . I'm Judy . It's nice meeting you . "
" Hi , Andy . I'm Judy . It's nice meeting you . "," Nice meeting you , too . "
" Nice meeting you , too . ", Come over and visit when you have time . 
 Come over and visit when you have time . , Thanks for the invitation . I will ! 
What do you do when you are angry ? , I usually calm down first and think about the reason that caused my anger . 
 I usually calm down first and think about the reason that caused my anger . , That ’ s smart . What do you usually do to relieve your anger ? 
 That ’ s smart . What do you usually do to relieve your anger ? , Something like listening to music is a good idea . 
 Something like listening to music is a good idea . ," Oh , what kind of music do you listen to ? "
" Oh , what kind of music do you listen to ? ", Classic . Something that could calm your mind . 
 Classic . Something that could calm your mind . , I think that might work for me as well . 
 I think that might work for me as well . , Working out is another good way to relieve anger . 
 Working out is another good way to relieve anger . , Like what ? 
 Like what ? ," Jogging , yoga , or even just taking a walk . "
"I'm sorry , but I can't come to your party . ", What a shame ! 
"Taylor , you're sweating up a storm ! "," Your boyfriend , Bryan , wanted to toss the football . I think he wore me out . "
" Your boyfriend , Bryan , wanted to toss the football . I think he wore me out . "," Yeah , you look a little shaky . And pale . You seriously need some time in the sun . "
" Yeah , you look a little shaky . And pale . You seriously need some time in the sun . ", You're like the tenth person to say that . 
 You're like the tenth person to say that . ," We're just worried about you , Taylor . "
" We're just worried about you , Taylor . ", Whatever . I wish people would just leave me alone ! 
She is so stupid . , Who cares ? She is pretty . 
 Who cares ? She is pretty . , So what ? 
 So what ? , You're just jealous . 
"Mrs.Smith , time has stood still with you ! ", Thank you.You ' re partial . 
 Thank you.You ' re partial . , I'm not flattering you.You ' re full of energy every day . 
 I'm not flattering you.You ' re full of energy every day . , It's nice to hear that anyway . 
What a police officer ! , I ’ Ve never seem such a scene either except in films . 
 I ’ Ve never seem such a scene either except in films . ," It ’ s really unimaginable . The police officer screamed at the driver and used bad language , but the driver took it on the chin . "
"In my wedding ceremony , where do my parents sit in the church ? ", The bride's parents ' seating arrangement is on the left side of the aisle and the groom's parents is on the right side . 
 The bride's parents ' seating arrangement is on the left side of the aisle and the groom's parents is on the right side . , Do friends of the bride always sit on one side of the church and friends of the groom on the other ? 
 Do friends of the bride always sit on one side of the church and friends of the groom on the other ? , They usually do . 
"Hi , Mary ! You're here already . Where's Harry ? ", He isn't a punctual person . We may have to wait for a little while . 
 He isn't a punctual person . We may have to wait for a little while . , That should give us time for a cup of coffee . I'll go and get some . 
 That should give us time for a cup of coffee . I'll go and get some . , Make it three cups . Here comes Harry . 
Why did the teacher criticise Myra in front of the whole class ? , Because Myra was cheating on exams.and she spoke back rudely . 
 Because Myra was cheating on exams.and she spoke back rudely . ," I don't think that Myra should have spoken so rudely to the teacher . I know she was angry , but that's still no excuse for rudeness . "
Is your city a historical place ? ," Not rally . 200 years ago , it was just a small insignificant village . "
" Not rally . 200 years ago , it was just a small insignificant village . ", How did it grow into such a large place ? 
 How did it grow into such a large place ? , Large deposits of coal were found nearly and so many industries located themselves here . The village quickly grew into a key industrial centre . 
 Large deposits of coal were found nearly and so many industries located themselves here . The village quickly grew into a key industrial centre . ," As the city grew , it must have absorbed many village nearby . "
" As the city grew , it must have absorbed many village nearby . "," Yes , it did . The names of those village survive as the names of parts of the city . "
" Yes , it did . The names of those village survive as the names of parts of the city . ", I see . Are there any building more than 200 years old in your city ? 
 I see . Are there any building more than 200 years old in your city ? ," Oh , yes . Several of the buildings from the villages still survive . Many of them were inns for travelers and today survive as pubs . There was a castle near one village , so our city has a castle too . "
" Oh , yes . Several of the buildings from the villages still survive . Many of them were inns for travelers and today survive as pubs . There was a castle near one village , so our city has a castle too . ", Really ? So your city does have some old history after all . 
What is wrong with your face ? , My brother did it . 
 My brother did it . , Why ? 
 Why ? , I laughed up my sleeves at him . He ’ s seen his girlfriend off at the airport and had lipstick on his face and did not know it . 
How's Jerry's new school ? , Very nice . He gets along with his classmates very well . 
 Very nice . He gets along with his classmates very well . , He's a team player . 
 He's a team player . ," Yes , indeed . "
How many people are there in your family ? ," Five.My father , mother , brother , sister-in-law and me . "
" Five.My father , mother , brother , sister-in-law and me . ", Is your brother older or younger than you ? 
 Is your brother older or younger than you ? ," He is five years older than me , He got married last Sunday.My brother and my sister-in-law are the same age . "
What's the problem ? You don't look happy . , I failed my oral test . 
 I failed my oral test . , How come ? 
 How come ? , I'm not practicing enough . 
 I'm not practicing enough . , Why don't you go to the English corner to talk to your classmates in English quite often ? 
 Why don't you go to the English corner to talk to your classmates in English quite often ? ," When I talk to Chinese , I always want to speak Chinese . "
" When I talk to Chinese , I always want to speak Chinese . "," You should always keep in mind , the more you practice , the better English you can speak . "
It ’ s dangerous . I don ’ t dare to go . , Come on . It ’ s quite safe . You really have no guts . 
Did you get the car you wanted ? , No . Someone had stolen a march on me and bought it . 
 No . Someone had stolen a march on me and bought it . , What about the car over there ? 
 What about the car over there ? ," It is marvelous , and the price is marvelous , as well . "
How may I help you ? , I want to return this video . 
 I want to return this video . , Is that all you need ? 
 Is that all you need ? , I also need to check this magazine out . 
 I also need to check this magazine out . , You ’ re not allowed to do that . 
 You ’ re not allowed to do that . , I don ’ t understand . 
 I don ’ t understand . , It ’ s our policy . 
 It ’ s our policy . , What can I check out ? 
 What can I check out ? , Only books or videos . 
 Only books or videos . , I need this magazine . 
 I need this magazine . , You will have to read it here . 
 You will have to read it here . , That ’ s weird . 
Have you heard the news ? , No . What happened ? 
"Such bad luck , 200 yuan was stolen by a thief on the bus today . "," Don't be angry , you lose money just to avoid misfortune . "
" Don't be angry , you lose money just to avoid misfortune . "," Well , you can just comfort yourself like that . "
"Ok , so who are we going to invite to our dinner party ? "," Well , we have the Thompsons , the Greens , and the Anderson , about twelve people total . "
" Well , we have the Thompsons , the Greens , and the Anderson , about twelve people total . "," Don't forget my friend Andy from the office . He has nothing to do on Friday , so I invited him over . "
" Don't forget my friend Andy from the office . He has nothing to do on Friday , so I invited him over . ", But that makes thirteen people ! We can't have thirteen people for dinner on Friday ! 
 But that makes thirteen people ! We can't have thirteen people for dinner on Friday ! , Why can't we ? 
 Why can't we ? ," It's an old superstition . If we have thirteen people at the table , then it means bad luck . Can Andy bring a date ? "
" It's an old superstition . If we have thirteen people at the table , then it means bad luck . Can Andy bring a date ? "," I'm not sure . He just broke up with his girlfriend recently , and I don't think he's in the mood to start again so soon . "
" I'm not sure . He just broke up with his girlfriend recently , and I don't think he's in the mood to start again so soon . ", But we can't have thirteen for dinner ! 
 But we can't have thirteen for dinner ! , I think you're making a mountain out of a molehill . It's only a superstition . It really doesn't mean anything . 
 I think you're making a mountain out of a molehill . It's only a superstition . It really doesn't mean anything . , Absolutely not ! I refuse to have thirteen people for dinner on Friday ! 
 Absolutely not ! I refuse to have thirteen people for dinner on Friday ! ," Ok , ok . I'll ask my sister to come . That way we'll have fourteen for dinner . "
" Ok , ok . I'll ask my sister to come . That way we'll have fourteen for dinner . ", That's better . 
"Hello , 8520388 2 . "," Hi , this is Maria . Is that Shirley ? "
" Hi , this is Maria . Is that Shirley ? "," Hi , Maria , this is Shirley . "
" Hi , Maria , this is Shirley . "," Shirley , do you know today's homework from our economic law class ? I have written it on a piece of paper but I can't find it now . "
" Shirley , do you know today's homework from our economic law class ? I have written it on a piece of paper but I can't find it now . ", Hold on for a moment please . I'm fetching my textbook . 
 Hold on for a moment please . I'm fetching my textbook . , OK . 
 OK . ," Oh , the homework is to explain what economic law is both in broad sense and in narrow sense . "
" Oh , the homework is to explain what economic law is both in broad sense and in narrow sense . ", Explain the economic law ? An essay question again ? 
 Explain the economic law ? An essay question again ? , Yes . You can use your textbook for your reference . 
 Yes . You can use your textbook for your reference . , Are there any clear answers in the book to this question ? 
 Are there any clear answers in the book to this question ? ," I don't think so , Maria , but I think you can look for information on the Internet . "
" I don't think so , Maria , but I think you can look for information on the Internet . "," OK , thank you , Shirley . You are very helpful . I have another question . When does the Economic Law of China come into effect ? "
" OK , thank you , Shirley . You are very helpful . I have another question . When does the Economic Law of China come into effect ? "," Oh , there isn't such a code called economic law . The Economic Law of China is a general concept for several laws . "
" Oh , there isn't such a code called economic law . The Economic Law of China is a general concept for several laws . ", There isn't such a code ? 
 There isn't such a code ? ," Yes , it's a general name for several laws related to economics , like Commercial Law , and Law of Central Bank . "
" Yes , it's a general name for several laws related to economics , like Commercial Law , and Law of Central Bank . "," Got it . Thank you , Shirley . "
I just dropped in to say goodbye . , What time are you leaving ? 
 What time are you leaving ? , I ’ ll leave at ten o ’ clock . 
 I ’ ll leave at ten o ’ clock . ," Take care , and give my best to your parents . "
" Take care , and give my best to your parents . "," Thank you , I will . Hope to see you again next year . "
The performance is amazing . I'm curious about how they did it . I mean the way they sing . , They must have practiced a lot . The perseverance has made them they are today . 
 They must have practiced a lot . The perseverance has made them they are today . , So cool . Someone gave me this flier at the exit . What's it about ? 
 So cool . Someone gave me this flier at the exit . What's it about ? ," Let me have a look . Well , it lists some shows that will be on next week . "
" Let me have a look . Well , it lists some shows that will be on next week . "," Oh , tell me about it . Anything interesting ? "
" Oh , tell me about it . Anything interesting ? "," Hmm ... Oh , this one , ' The Drunken Beauty ' . This is a real classic . "
" Hmm ... Oh , this one , ' The Drunken Beauty ' . This is a real classic . "," ' The Drunken Beauty ' ? It's funny that we have ' Sleeping Beauty ' in my country . Anyway , what's it about ? Is the beauty a drunkard ? "
" ' The Drunken Beauty ' ? It's funny that we have ' Sleeping Beauty ' in my country . Anyway , what's it about ? Is the beauty a drunkard ? ", Of course not . She was said to be the most beautiful woman in her time and that made her become the queen . They play was famous for its singing and dancing . 
 Of course not . She was said to be the most beautiful woman in her time and that made her become the queen . They play was famous for its singing and dancing . ," Sure , people do that when they are drunk . What about the actress ? "
" Sure , people do that when they are drunk . What about the actress ? ", She is an opera star in China . Her teacher's teacher is Mei Landfang . 
 She is an opera star in China . Her teacher's teacher is Mei Landfang . ," Oh , I've heard about him before . He even created a special dance of sleeve shaking . "
" Oh , I've heard about him before . He even created a special dance of sleeve shaking . ", You are such an expert on it . I don't know that . 
 You are such an expert on it . I don't know that . ," You know , interest is the best teacher . "
" You know , interest is the best teacher . "," So , want me to book the tickets again ? "
" So , want me to book the tickets again ? ", Please do that . I can't wait to come back again . The performance must be really amazing . 
 Please do that . I can't wait to come back again . The performance must be really amazing . , We can do that if you like . Maybe next weekend . 
 We can do that if you like . Maybe next weekend . , That will be great . 
That was heaven ! , The sea water treatments are supposed to be really good for you . 
 The sea water treatments are supposed to be really good for you . , Really ? 
 Really ? , But the water has to be kept at 34 degrees so that the minerals can be absorbed by your body . 
 But the water has to be kept at 34 degrees so that the minerals can be absorbed by your body . ," Well , whatever it does , I feel transformed ! "
You got a letter in the mail . , Give it to me . 
 Give it to me . , What is it ? 
 What is it ? , It ’ s from NYU . 
 It ’ s from NYU . , What does it say ? 
 What does it say ? , I didn ’ t get accepted . 
 I didn ’ t get accepted . , You can ’ t be serious ! 
 You can ’ t be serious ! , I ’ m serious . 
 I ’ m serious . , Are you all right ? 
 Are you all right ? , NYU was my first choice . 
 NYU was my first choice . , I ’ m sorry that you didn ’ t get in . 
 I ’ m sorry that you didn ’ t get in . , I ’ ll just have to wait for UCLA . 
"What are you going to do for one year abroad , Tom ? "," Study , study , study . I want to learn a lot . "
" Study , study , study . I want to learn a lot . ", You are going to take courses ? 
 You are going to take courses ? , Yes . I am going to take some university courses there . 
 Yes . I am going to take some university courses there . , Sounds hard . 
 Sounds hard . ," Yes , but I think it's probably for the best . "
" Yes , but I think it's probably for the best . ", Won't you get lonely ? 
 Won't you get lonely ? ," Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . "
I went shopping without my umbrella yesterday morning . , Yesterday morning was beautiful i thought the sunning was going to continue . 
 Yesterday morning was beautiful i thought the sunning was going to continue . , So did i . that's why i didn't take my umbrella . i got cold in the rain in the afternoon.it was raining cats and dogs . 
 So did i . that's why i didn't take my umbrella . i got cold in the rain in the afternoon.it was raining cats and dogs . , I know . i could not believe it when i got hit by that storm.it was pouring with rain all afternoon . 
 I know . i could not believe it when i got hit by that storm.it was pouring with rain all afternoon . , We really have some miserable weather sometime . i wish i would live somewhere which were sunning all year round . 
 We really have some miserable weather sometime . i wish i would live somewhere which were sunning all year round . , If it was sunning all year round there would be drought.you probably would not like it either . 
 If it was sunning all year round there would be drought.you probably would not like it either . , I guess you are right . maybe i just wish the weather could be a little more predictable . 
 I guess you are right . maybe i just wish the weather could be a little more predictable . , The weather forecasters are not good at predicting the weather would be like.our weather is so changeable . 
Those guys work at the same company and go to the same bars . They do everything together . , Birds of a feather flock together . 
What ’ s your new job like ? ," Oh , it ’ s fine . I ’ Ve got a very nice secretary and a large pleasant office . "
" Oh , it ’ s fine . I ’ Ve got a very nice secretary and a large pleasant office . ", Um . 
 Um . , And a company car . 
 And a company car . , Very nice . 
 Very nice . ," Yes , it is . But I ’ Ve got a lot of work too . "
" Yes , it is . But I ’ Ve got a lot of work too . "," Well , that ’ s life , isn ’ t it ? "
"What a surprise meeting you here , Landy . ", I ’ m here as a tourist . 
 I ’ m here as a tourist . ," It ’ s a small world , isn ’ t it ? "
" It ’ s a small world , isn ’ t it ? "," Yes , it ’ s a small world . We never know where we ’ ll meet someone we know . "
"So you're traveling around the world , aren't you . ", That's right 
 That's right , When did you arrive here ? 
 When did you arrive here ? , Last night 
 Last night , Did you have a good journey ? 
 Did you have a good journey ? ," Yes , I enjoyed it very much . "
" Yes , I enjoyed it very much . ", Where have you been on this trip ? 
 Where have you been on this trip ? ," Let me see . Ah , yes , I've been to England , France , Germany , Italy and now I've been in Spain "
" Let me see . Ah , yes , I've been to England , France , Germany , Italy and now I've been in Spain ", Really ? How long will your holiday last ? 
 Really ? How long will your holiday last ? , Two weeks 
 Two weeks , All these countries in two weeks ? 
 All these countries in two weeks ? , That's right 
Please do excuse me for a moment . I've got diarrhea . , It's easy to get loose bowels in summer . 
 It's easy to get loose bowels in summer . , It may have something to do with the food I had last night 
 It may have something to do with the food I had last night , You ’ Ve got to be careful on the food you eat . 
 You ’ Ve got to be careful on the food you eat . , I will . Thank you . 
"Hi Mary , how's it going ? "," Well , last night I had a big argument with Ann . "
" Well , last night I had a big argument with Ann . ", Terrible . It must be something serious . You two are such close friends . 
 Terrible . It must be something serious . You two are such close friends . ," Now that I look back at it , it wasn't that big a deal . I shouldn't have lost my temper . "
" Now that I look back at it , it wasn't that big a deal . I shouldn't have lost my temper . ", Really ? What happened ? 
 Really ? What happened ? ," It's just we've been planning to go the beach for a while , and we decided we could both make it this weekend . Then out of nowhere she called me up , said her boyfriend had made plans and that she need to cancel the trip . I was so angry when she told me that I said she didn't care about our friendship at all . "
" It's just we've been planning to go the beach for a while , and we decided we could both make it this weekend . Then out of nowhere she called me up , said her boyfriend had made plans and that she need to cancel the trip . I was so angry when she told me that I said she didn't care about our friendship at all . ", That's pretty harsh . 
 That's pretty harsh . ," I know , but I was so upset . I mean , come on ! Does she have to do everything her boyfriend says ? "
" I know , but I was so upset . I mean , come on ! Does she have to do everything her boyfriend says ? ", You know she probably feels just as bad . 
 You know she probably feels just as bad . ," Well , I think I was being a little selfish myself . I know they don't get to see each other very often . "
" Well , I think I was being a little selfish myself . I know they don't get to see each other very often . "," Well , in that case I guess maybe you can be more understanding . You shouldn't let a trivial thing like this stand in the way of your friendship . After all you can go to the beach anytime you want . "
" Well , in that case I guess maybe you can be more understanding . You shouldn't let a trivial thing like this stand in the way of your friendship . After all you can go to the beach anytime you want . "," Yeah , I'll call later to patch things up . "
I can't bear you anymore . I am sick of your drinking . I am divorcing you . ," Don't do that to me , honey . Give me a chance , please . I make a solemn promise never to drink alcohol again . "
" Don't do that to me , honey . Give me a chance , please . I make a solemn promise never to drink alcohol again . ", How many chances should I give you ? I've given up on you ! 
 How many chances should I give you ? I've given up on you ! ," Have a heart , honey . You know I am trying hard to quit drinking , don't you ? Just give me one more chance , please ! "
Finally the class is over . Be quick . Ben must have been waiting for long . ," Oh , I am so tired . My back is sore and my neck hurts . "
" Oh , I am so tired . My back is sore and my neck hurts . "," That's normal . You have been sitting for three hours , with your attention highly concentrated . "
" That's normal . You have been sitting for three hours , with your attention highly concentrated . "," You are wrong , Shirley . I was always absent-minded in the class . I meant to concentrate on the class , but I was just so tired . Maybe I am old . "
" You are wrong , Shirley . I was always absent-minded in the class . I meant to concentrate on the class , but I was just so tired . Maybe I am old . ", No . You are just burning yourself out these days . Have a good rest and you will feel energetic again . 
 No . You are just burning yourself out these days . Have a good rest and you will feel energetic again . ," One of my friends took the Adult College Entrance Exam last year . He filled the school column with his name , and his score was relinquished . "
" One of my friends took the Adult College Entrance Exam last year . He filled the school column with his name , and his score was relinquished . ", How could he make such a silly mistake ? 
 How could he make such a silly mistake ? ," He said he hadn't taken any exams for ten years , and couldn't get used to it immediately . He was extremely nervous then . "
" He said he hadn't taken any exams for ten years , and couldn't get used to it immediately . He was extremely nervous then . "," He lost a very good chance to go to college , didn't he ? "
" He lost a very good chance to go to college , didn't he ? ", Yeah . The test was fairly easy and almost every test-taker could pass that exam . Adult College Entrance Exam is much easier than college entrance exam . And there are fewer subjects . 
 Yeah . The test was fairly easy and almost every test-taker could pass that exam . Adult College Entrance Exam is much easier than college entrance exam . And there are fewer subjects . , That's a very good lesson . We must familiarize ourselves with the exam from now on . 
What did you do over the weekend ? , I went a global warming rally . It was fantastic to be around so many people who care about the environment . 
 I went a global warming rally . It was fantastic to be around so many people who care about the environment . , Do you think there's anything we can do to reverse the damage that's been done already ? 
 Do you think there's anything we can do to reverse the damage that's been done already ? ," It might not be possible to fix the problems that we've created for ourselves , but there are lots of things we can do to prevent more damages from happening . "
" It might not be possible to fix the problems that we've created for ourselves , but there are lots of things we can do to prevent more damages from happening . ", Like what ? 
 Like what ? ," Well , we can use public transport instead of taking our cars for a start . "
" Well , we can use public transport instead of taking our cars for a start . ", What else can we do to protect the environment ? 
 What else can we do to protect the environment ? ," If you do have to drive , you should make sure that your car runs on unleaded petrol . Also , your home should use sources of renewable energy . "
" If you do have to drive , you should make sure that your car runs on unleaded petrol . Also , your home should use sources of renewable energy . ", How about recycling ? Does that actually help ? 
 How about recycling ? Does that actually help ? ," Yes . You should take your glass , paper , plastic , cardboard , and tin cans to a recycling center . "
" Yes . You should take your glass , paper , plastic , cardboard , and tin cans to a recycling center . ", What do you think the biggest worry for our future is ? 
 What do you think the biggest worry for our future is ? , I think that the issue of greatest concern is having enough sources of clean water for everyone . 
 I think that the issue of greatest concern is having enough sources of clean water for everyone . , I had no idea you were such an environmentalist before ! 
 I had no idea you were such an environmentalist before ! ," To be honest , in order for the earth to continue to be a habitable place , we're all going to have to become more interested in the environment . "
"Merry Christmas , Bill ! ", Merry Christmas . Steven ! 
 Merry Christmas . Steven ! , What do you want to do to celebrate Christmas ? 
 What do you want to do to celebrate Christmas ? , I'll have supper with my girlfriend and go shopping . What about you ? 
 I'll have supper with my girlfriend and go shopping . What about you ? , I'll go to church first and then go to a Christmas party . Would you like to come ? 
 I'll go to church first and then go to a Christmas party . Would you like to come ? , I'd love to . But I am going to meet my girlfriend right now . See you later . 
 I'd love to . But I am going to meet my girlfriend right now . See you later . , See you . 
"So Emily , what do you like to do for fun ? ", I like to go to the movies . What do you do in your free time ? 
